Series Name,Series Code,Country Name,Country Code,2013 [YR2013],Title, TestCol, TestCol
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saint Kitts and Nevis,KNA,17,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saint Lucia,LCA,25,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saint Vincent and the Grenadines,VCT,56,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,716,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,,878,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,282824,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,10538,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,27033,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,126,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,1860,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,54254,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,160,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovakia,SVK,2417,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,2208,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Somalia,SOM,3221,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,529877,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Korea,KOR,14499,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Sudan,SSD,2450,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sri Lanka,LKA,2839,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sudan,SDN,11780,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Suriname,SUR,2050,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Swaziland,SWZ,2909,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,81540,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Switzerland,CHE,35838,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Syria,SYR,944,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Taiwan,TWN,477,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tajikistan,TJK,7625,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tanzania,TZA,509,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Thailand,THA,3330,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Timor,TMP,25,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Togo,TGO,1001,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Trinidad and Tobago,TTO,199,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,1601,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkey,TUR,236112,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turks and Caicos Islands,TCA,129,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uganda,UGA,1213,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,75490,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Arab Emirates,ARE,61860,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,307184,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,4823891,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States Virgin Islands,VIR,501,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,1309,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uzbekistan,UZB,28069,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vatican,VAT,12,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Venezuela,VEN,22299,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,717,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Western Sahara,ESH,766,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Yemen,YEM,1764,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,7022,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,4339,,,
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: Our World in data,,,,,,,
Last Updated: 06/08/2020,,,,,,,
